product_name,brands,categories,energy_100g,saturated_fat_100g,sugars_100g,salt_100g,proteins_100g,fiber_100g,fvl_percent,nutri_score_value,nutri_score_label,green_score_value,green_score_label,url
SO organic Mayonnaise,Sainsbury's,"Condiments, Sauces, Mayonnaises, Groceries",2908,8.3,2.3,0.83,1.1,0,0,20,E,62,B,https://world.openfoodfacts.org/product/01784060
Amora Spécialité à la moutarde de Dijon aux épices et aromates Savora Bocal 385g,"Amora, Unilever","Condiments, Sauces, Moutardes, en:groceries, Spécialité à la Moutarde",513,0.3,5.9,4.7,3.8,1.04,-0.06640625,22,E,67,B,https://world.openfoodfacts.org/product/8712100731822
Custard powder,Bird's,"Dairies,Condiments,Cooking helpers,Sauces,Dessert mixes,Dessert sauces,Custards and pastry creams,Custard powder",334,0.976,9.51,0.152,3.11,0.305,0,1,B,76,A,https://world.openfoodfacts.org/product/5000354908248
Sauce Tomate concentrée cuisinée aux petits légumes,Panzani,"Condiments, Sauces, Sauces pour pâtes, Sauces tomate, Sauces aux légumes, Sauces tomate aux petits légumes, en:groceries, Sauces pour féculents, Sauces tomates cuisinée aux petits légumes, Kits repas",572,0.5,9.3,2.9,2.8,2,53.79722222,16,D,73,B,https://world.openfoodfacts.org/product/3038359004544
Classic Barbecue - Smokey & Rich,Heinz,"Condiments,Sauces,Barbecue sauces",584,0.1,29,1.2,0.9,0,0.208072917,14,D,70,B,https://world.openfoodfacts.org/product/87157154
Pastasaus m/Basilikum,"Mutti, Oluf lorentzen as","Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Condiments, Vegetables based foods, Cooking helpers, Sauces, Tomatoes and their products, Meal sauces, Pasta sauces, Tomato sauces, Tomato sauces with basil",234,0.5,4.5,0.81,1.6,0,70.2,3,C,85,A,https://world.openfoodfacts.org/product/8005110517006
Classic pesto,Filippo Berio,"Condiments,Sauces,Sauces Pesto,Pestos au basilic,en:Groceries",1950,5,1.67,2.92,5,0,0.050366951,23,E,51,C,https://world.openfoodfacts.org/product/8002210112445
Maille Mayonnaise,Maille,"Condiments, Sauces, Mayonnaises, Dijon mayonnaises, Groceries",2778,5.9,1,1.1,1.6,0.5,0,18,D,39,D,https://world.openfoodfacts.org/product/8718114734484
Tesco Houmous,Tesco,"Plant-based foods and beverages, Plant-based foods, Condiments, Spreads, Plant-based spreads, Salted spreads, Sauces, Dips, Hummus",954,1.6,0.6,0.9,6.1,4.3,58.515625,2,B,80,A,https://world.openfoodfacts.org/product/10065891
Tomato ketchup 50% less sugar and salt,Heinz,"Condiments,Sauces,Tomato sauces,Ketchup,Tomato Ketchup",271,0,11,0.9,1.4,0,67.7,5,C,74,B,https://world.openfoodfacts.org/product/8715700423951
Moutarde de Dijon,"Kania, Lidl, Winarom","Condiments, Sauces, Mustards, Dijon mustards, Groceries",643,0.8,2.7,5.7,7.2,0,0,21,E,66,B,https://world.openfoodfacts.org/product/20697075
